domain,classification,correct,labeller
alistdaily.com,disinformation,non_news,austin
prius-soul.com,non_news,non_news,austin
forumdergesundheit.com,disinformation,non_news,austin
richterpublishing.com,disinformation,non_news,austin
newsmediaalliance.org,disinformation,non_news,austin
conservativeinstitute.org,disinformation,news,austin
amazonasnews.com,disinformation,news,austin
samachar24x7.com,disinformation,news,austin
veteranstoday.com,disinformation,disinformation,austin
someecards.com,non_news,non_news,austin
nationalrighttolifenews.org,disinformation,news,austin
kourdistoportocali.com,disinformation,news,austin
mediacrisis.info,disinformation,non_news,ben
flipgrid.com,non_news,non_news,ben
entertainmentstation.jp,non_news,non_news,ben
vinsonfinancials.com,non_news,non_news,ben
voicefaithful.blog,non_news,non_news,ben
derrydiocese.org,news,non_news,ben
ziggyknowsdisney.com,disinformation,non_news,ben
sweden.se,non_news,non_news,ben
newsauto.gr,disinformation,news,ben
munhwa.com,news,news,ben
crossroadsathletics.com,non_news,non_news,ben
amzn.to,non_news,non_news,ben
fivearrows.jp,non_news,non_news,ben
nist.gov,non_news,non_news,ben
2ch.net,non_news,non_news,ben
pubsportsradio.com,non_news,non_news,ben
tamaplaza.news,non_news,news,ben
pawmygosh.co,non_news,news,ben
shaabnews.net,disinformation,news,ben
thegeek.news,non_news,news,ben
bestlikehelponline.com,non_news,non_news,ben
dieselnet.com,non_news,non_news,ben
glavnoe.ua,non_news,news,ben
confprofessioni.eu,non_news,non_news,ben
achieverstalk.co,non_news,news,ben
lespros.co.jp,non_news,non_news,ben
cosplayers.global,non_news,non_news,ben
cmm.gg,non_news,news,ben
towardfreedom.org,news,news,ben
chronica.ventures,non_news,non_news,ben
neilyoungarchives.com,non_news,non_news,ben
viajaresimples.com.br,non_news,non_news,ben
plumpton.ac.uk,non_news,non_news,ben
feelcycle.com,non_news,non_news,ben
zeit.de,non_news,news,ben
slow-life.jp,non_news,non_news,ben
lifelettercafe.com,non_news,non_news,ben
faktatime.com,non_news,news,ben
mytcr.com,non_news,non_news,ben
titanplustribe.com,disinformation,non_news,ben
netralnews.com,disinformation,news,ben
nv9.me,disinformation,non_news,ben
tring.al,non_news,non_news,ben
worldbestpornstars.com,non_news,non_news,ben
wpta21.com,non_news,news,ben
shomanews.com,disinformation,news,ben
mobile-boutique.com,non_news,non_news,ben
backseatmafia.com,non_news,non_news,ben
channel-korea.com,disinformation,news,ben
yangpatv.kr,non_news,news,ben
prosyscom.tech,non_news,news,ben
doolnews.com,disinformation,news,ben
stpatricksfestival.ie,non_news,non_news,ben
almogaz.com,non_news,news,ben
tssa.org.uk,non_news,non_news,ben
grc.gc.ca,non_news,non_news,ben
blbrd.cm,non_news,non_news,ben
mytravelproducts.com,non_news,non_news,ben
vh1.com,non_news,news,ben
hmv.co.jp,non_news,non_news,ben
southendunited.co.uk,non_news,non_news,ben
fondazioneconilsud.it,non_news,non_news,ben
ghn.ge,non_news,news,ben
farm-europe.eu,non_news,non_news,ben
hernehill.org.uk,non_news,non_news,ben
tn.gov,non_news,non_news,ben
albirex.co.jp,non_news,non_news,ben
ottawamatters.com,non_news,non_news,ben
destinationlinux.org,disinformation,non_news,ben
bademeister.com,news,non_news,ben
thebest.gr,non_news,news,ben
hcn.org,news,news,ben
suaramilenial.com,non_news,news,ben
sportindustry.biz,disinformation,news,ben
guitarcoaching.com,non_news,non_news,ben
rjrnewsonline.com,disinformation,news,ben
wwweber.jp,non_news,non_news,ben
eanews.kr,non_news,news,ben
thelineofbestfit.com,non_news,non_news,ben
arabfxtrader.online,non_news,non_news,ben
askingradio.com,disinformation,non_news,ben
rn.ru,news,non_news,ben
kyoto-news.jp,disinformation,news,ben
google.nl,non_news,non_news,ben
webnewtype.com,non_news,non_news,ben
wow-rak.com,non_news,non_news,ben
adaderana.lk,non_news,news,ben
aitimes.kr,non_news,news,ben
xn--3ck9bufp53k34z.com,non_news,non_news,ben
bhopalsamachar.com,non_news,news,ben
cliptags.net,non_news,non_news,ben
thailandtravel.or.jp,non_news,non_news,ben
pokerfirma.com,non_news,non_news,ben
seatrade-maritime.com,non_news,news,ben
gph.gov.sa,non_news,news,ben
steadfastandloyal.com,non_news,disinformation,ben
stonespecialist.com,non_news,non_news,ben
nico.ms,non_news,non_news,ben
j-town.net,news,news,ben
government.ru,news,non_news,austin
theaustralian.com.au,news,news,austin
bmtrada.com,news,non_news,austin
gizchina.it,non_news,non_news,austin
derekthomas.org,non_news,non_news,austin
pref.aichi.jp,non_news,non_news,austin
gleam.io,non_news,non_news,austin
sconticondivisi.it,non_news,non_news,austin
dailyhunt.in,disinformation,non_news,austin
africanews24-7.co.za,disinformation,news,austin
aseanbriefing.com,disinformation,non_news,austin
lauradavemedia.com,disinformation,news,austin
5mfi.com,disinformation,non_news,austin
promomarketing.com,news,non_news,austin
capecodtimes.com,news,news,austin
allrugby.com,news,non_news,austin
